                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2016 061   12.17   10.23   15.33    0.03    3.45    5.43   10.69
2016 062   13.30   14.32   31.62    1.02    7.81   18.38   16.37
2016 063   15.52   14.87   38.87    2.90   11.85   53.66   19.64
2016 064   15.76   13.58   38.37    6.52   10.74   78.98   19.67
2016 065   14.93   12.27   37.56    5.82   10.78   78.96   18.82
2016 066   10.14    9.27   34.87   11.96   12.37   66.63   16.39
2016 067    6.88    7.61   18.70    2.55    9.40   17.65    9.68
2016 068    6.40    7.35   17.15    0.05    5.94   11.74    8.57
2016 069    5.34    6.79   16.28    0.00    5.32    9.37    7.79
2016 070    3.97    7.72   15.28    0.00    4.35    0.21    7.15
2016 071    4.06    7.27   15.72    0.00    2.88    0.00    7.08
2016 072    3.92    6.07   12.56    0.00    2.48    0.00    5.98
2016 073    3.73    6.08   12.38    0.00    2.24    0.00    5.85
2016 075    4.12    5.35   10.60    0.00    2.40    0.00    5.41
2016 076    2.95    2.92    8.65    0.00    1.97    0.00    3.94
2016 077    2.13    1.05    6.90    0.00    0.12    0.00    2.67
2016 078    1.64    1.71    6.07    0.00    0.15    0.00    2.44
2016 079    5.47    0.83    8.37    0.04    0.69    0.00    4.24
2016 080    2.72    0.46    9.27    0.00    0.15    0.00    3.32
2016 081    1.72    0.29    4.24    0.00    0.09    0.00    1.71
2016 082    1.57    0.11    3.95    0.00    0.00    0.00    1.54
2016 083    1.59    0.07    3.96    0.00    0.00    0.00    1.54
2016 084    1.47    0.03    3.75    0.00    0.00    0.00    1.44
2016 085    1.45    0.02    4.17    0.00    0.00    0.00    1.53
2016 086    1.32    0.02    3.77    0.00    0.00    0.00    1.38
2016 087    1.27    0.02    3.27    0.00    0.00    0.00    1.25
2016 088    1.27    0.02    3.20    0.00    0.00    0.00    1.23
2016 089    1.22    0.02    3.14    0.00    0.00    0.00    1.20
2016 090    1.31    0.03    3.16    0.00    0.00    0.00    1.24
2016 091    1.26    0.03    3.31    0.00    0.00    0.00    1.26
2016 092    1.28    0.03    3.33    0.00    0.00    0.00    1.27
2016 093    1.15    0.03    3.33    0.00    0.00    0.00    1.22
2016 094    1.11    0.00    2.08    0.00    0.00    0.00    0.90
2016 095    1.11    0.00    2.00    0.00    0.00    0.00    0.88
2016 096    1.30    0.21    2.32    0.00    0.03    0.00    1.08
2016 097    1.13    0.00    2.15    0.00    0.00    0.00    0.93
2016 098    1.13    0.00    1.96    0.00    0.00    0.00    0.88
2016 099    1.13    0.00    1.73    0.00    0.00    0.00    0.83
2016 100    1.07    0.00    1.72    0.00    0.00    0.00    0.80
2016 101    0.56    0.00    1.68    0.00    0.00    0.00    0.61
2016 102    1.05    0.00    1.68    0.00    0.00    0.00    0.79
2016 103    1.10    0.00    1.70    0.00    0.00    0.00    0.80
2016 104    1.06    0.00    1.73    0.00    0.00    0.00    0.80
2016 105    1.06    0.00    1.64    0.00    0.00    0.00    0.78
2016 106    1.06    0.00    1.47    0.00    0.00    0.00    0.74
2016 107    0.55    0.00    1.47    0.00    0.00    0.00    0.55
2016 108    1.04    0.00    1.44    0.00    0.00    0.00    0.72
2016 109    1.04    0.00    1.48    0.00    0.00    0.00    0.73
2016 110    1.02    0.00    1.37    0.00    0.00    0.00    0.70
2016 111    1.04    0.00    1.39    0.00    0.00    0.00    0.71
